=== Inventory Report ===
Generated By: sujanpoojary
Generated On: 2025-11-12 00:25:30
--------------------------------------------
ID,Name,Category,Quantity,Price
1,dress,fashion,12,299.0
101,airpods,electronics,30,1000.0
102,pencil,stationary,20,10.0
110,iphone 15,electronics,10,60000.0
150,keybroad,electronics,20,1000.0
201,ipad,electronics,10,45000.0
202,tv,electronics,20,20000.0
207,mouse,electronics,15,999.0
210,smart watch,electronics,11,1000.0
666,charger,electronics,10,499.0
--------------------------------------------
Total Products: 10
